FACTS;MARKETS;CATEGORY;MANUFACTURERS;MAR_2017;APR_2017;MAY_2017;JUN_2017;JUL_2017;AUG_2017;SEP_2017;OCT_2017;NOV_2017;DEC_2017;JAN_2018;FEB_2018
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;T. NUTRESA;40.2;54.3;59.3;48.8;45.8;45.1;44.4;41.8;39.6;33.9;35.9;38.5
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CEREALES LISTOS;OTROS FABRICANTES;692.6;655.5;641;616.5;528.8;409.3;449;454.5;437.1;438.6;418.3;492.2
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. CEREALES LISTOS;8234.3;8071.8;8132.6;8026.5;8089.8;8120.3;8030.1;8150.1;7575.2;7141.9;7518.4;8055.7
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. KELLOGG'S;5088.6;4983.6;5071.6;5056.6;5006.8;5112.1;4994.4;5070.8;4619.4;4504;4575.4;4788.4
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NESTLE S.A;1095.3;1060.1;1022.9;951.5;1084.7;992.8;987.5;1008.7;921;822.1;974.9;1035.3
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. PROD QUAKER;149.9;152.3;150.6;153.3;147.3;149.3;150.2;137.9;148.2;114.5;129.2;140.4
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;T. NUTRESA;228.3;246.4;269.5;258.6;250.6;254;259.9;249.7;240.6;191.5;199.2;242.9
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CEREALES LISTOS;OTROS FABRICANTES;1672.3;1629.3;1618;1606.5;1600.4;1612.1;1638.2;1683;1646;1509.9;1639.8;1848.8
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. CREMAS FACIALES;84082.9;65050.8;94275.4;70169.5;88418.9;75454.7;91478.9;92480.3;78833.7;100782.7;91499.1;87278.8
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. P&G;0.5;1.6;1;0.8;0.6;0.2;1.4;0.6;0.4;0.6;0.5;0.3
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. BDF;11422.1;8437.9;11817.4;8187.3;10124.9;8491.3;12896.8;12639.7;11146.3;15338.6;17150.2;11685.4
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. UNILEVER;40092.2;29366.6;51237.8;30358.3;41735.6;34939.6;42545.6;39997.8;31909.8;37795.7;32266.5;33638
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;T. PRODUCTOS FAMILIA;5602.1;5752.1;6328.9;6949.8;7425.1;6561.9;7043.3;7314.8;6502.5;6812.6;6634.6;6012.7
VENTAS EN VOLUMEN KILOS;TOTAL COLOMBIA;CREMAS FACIALES;OTROS FABRICANTES;22431.8;18016.1;20914.4;20623.1;24073.7;21552.2;24789.1;27754.3;25146.1;35826.5;31725.9;32103.3
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. CREMAS FACIALES;11744.2;10039;13309.3;10324.9;12613.9;10726.4;13185.1;12860.8;12415.2;16356.1;15304.8;14053.7
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. P&G;0.2;0.5;0;0.1;0.3;0;0.3;0;0;0;0;0
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. BDF;1247.8;905;1299.6;816.4;1074.2;819.6;1381.8;1391.1;1259.6;1739.6;1930.1;1261
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. UNILEVER;5467;4471.8;6283.1;4415;5755.4;4858.6;5560.1;5301.2;4884.2;5538.2;5054.9;5074.6
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;T. PRODUCTOS FAMILIA;729.9;841.8;796.6;814.7;875.8;722.7;719.5;747.2;763.2;715.7;738.6;642
VENTAS EN VOLUMEN KILOS;TOTAL ATLANTICO;CREMAS FACIALES;OTROS FABRICANTES;3746.2;3353.4;4421.4;3781.3;4277;3871.7;5038.1;5016.4;5066.3;7787.9;7051.1;6605.5
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. CREMAS FACIALES;7925.8;6589.2;9572.5;7049.1;8588.5;7153.7;8327.7;9196.2;7373.6;8570.1;8326.3;7905.3
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. P&G;0;0;0;0;0;0;0;0;0;0;0;0
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. BDF;923.6;726.3;914.5;624.8;728.2;626.8;916.8;900.7;850;1101.5;1250.5;886.9
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. UNILEVER;4755.3;3820.8;6479.6;3997.6;4995.4;4051.4;4511.8;4959.7;3533.1;4116.1;3683.1;3897.4
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;T. PRODUCTOS FAMILIA;536.4;628.6;699.6;784.5;860.6;963.9;1048.9;1063.1;991.3;935.5;971;911.1
VENTAS EN VOLUMEN KILOS;TOTAL ORIENTE;CREMAS FACIALES;OTROS FABRICANTES;1383.7;1108.7;1084;1201.6;1483.5;1130.2;1235.1;1461.3;1273.2;1636.4;1880.6;1725.4
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. CREMAS FACIALES;31326.9;23824.8;36233.4;26741.5;33278.1;27948.2;35795.3;34455.8;29447.2;37656.4;32363.3;33346.1
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. P&G;0.3;1.1;0.6;0.7;0.3;0.2;1.2;0.6;0.4;0.6;0.5;0.3
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. BDF;4976.5;3701.9;5597.3;3852.3;4410.6;3797.6;5862;5749.6;4881.3;6821.1;7495;5521.5
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. UNILEVER;14379.6;9619.5;18209.3;10231.4;14746.8;11732.3;15529.4;13809.7;10924.5;13104.3;10396.5;11538.5
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;T. PRODUCTOS FAMILIA;1651.3;1781.7;2075.3;2347.5;2435.8;2206.7;2267.8;2332.9;1975.4;2139.2;1788.4;1867.8
VENTAS EN VOLUMEN KILOS;TOTAL CUNDINAMARCA;CREMAS FACIALES;OTROS FABRICANTES;8600.6;7426.2;8698.7;8622.1;9496.3;8656.8;10545.5;10911.5;10227;13782.3;11549.4;13019.6
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. CREMAS FACIALES;15913.6;12267.7;17167.8;12223.4;15957.6;13055;15122;14926.4;12370.2;16575.2;14400.5;14033.4
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. P&G;0.3;0.6;0.1;0.2;0.1;0;0.2;0;0.1;0.1;0.1;0.1
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. BDF;2462.9;1886.4;2635.6;1758.4;2314.8;1888.2;2793;2718.1;2309.6;3272.6;3013.3;2325.4
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. UNILEVER;7954.4;5820.3;9640.1;6003.7;7925.5;6671.9;7509.3;7344.3;5805.6;7430.2;6156.9;6616.4
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;T. PRODUCTOS FAMILIA;250;244.1;273.2;303;347.1;279.8;301.3;340.5;288.5;317;321.3;314.3
VENTAS EN VALOR $ ('000000);TOTAL COLOMBIA;CREMAS FACIALES;OTROS FABRICANTES;3794.8;3392.6;3599.6;3265.1;3944.9;3292.6;3412.1;3325.8;3067.1;4242.3;4082;3850.7
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. CREMAS FACIALES;1873.6;1624.6;1996.1;1508.8;1922.5;1597.4;1843.3;1740.7;1613.6;2116.6;1934.2;1820.7
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. P&G;0;0.3;0;0;0.1;0;0.1;0;0;0;0;0
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. BDF;236.3;191.5;251.6;159.6;220.3;162.4;281.5;265.9;243.1;336.4;317.3;236.6
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. UNILEVER;1020.8;837.5;1132.3;795.5;1014.1;879.9;959.2;925.6;829.9;1020.3;902.1;937.1
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;T. PRODUCTOS FAMILIA;32;36.1;35.2;38.4;44.4;36.3;34.7;38.6;34.5;40;43;40
VENTAS EN VALOR $ ('000000);TOTAL ATLANTICO;CREMAS FACIALES;OTROS FABRICANTES;448;432;443;407;485.7;406.1;437;398.2;389.9;552;540.6;489.4
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. CREMAS FACIALES;1455.6;1231.6;1778.8;1237.3;1503.9;1192.8;1327.6;1408.2;1114.8;1393.8;1311.9;1265.8
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. P&G;0;0;0;0;0;0;0;0;0;0;0;0
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. BDF;162.3;138.6;206.8;122.2;146.8;133.7;182.3;169.4;159.6;214.3;204.8;156.7
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. UNILEVER;926.4;757.9;1244.3;808.4;976.3;769.2;805.5;893.6;655.8;800;707.9;747
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;T. PRODUCTOS FAMILIA;25.4;25.7;28.1;31.2;37.4;32.2;38.4;40.7;34.7;36;37.5;36.8
VENTAS EN VALOR $ ('000000);TOTAL ORIENTE;CREMAS FACIALES;OTROS FABRICANTES;287.5;264.2;259;231.6;289.9;222.3;249;244.1;216.9;288.6;316.4;284.6
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. CREMAS FACIALES;6416;4956.7;7139.7;5127.6;6436.1;5320;6411.5;6071.6;5097.6;6974.7;5695.9;5852.1
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. P&G;0.1;0.3;0.1;0.2;0.1;0;0.2;0;0.1;0.1;0.1;0.1
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. BDF;1120.9;886.7;1293.5;863.6;1045.1;884;1344.7;1288.2;1062.1;1549.6;1374.6;1117.4
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. UNILEVER;2923.3;1974;3457;2073.4;2782.5;2295.2;2715.3;2594.1;1985;2628.8;2025.6;2333.6
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;T. PRODUCTOS FAMILIA;85.6;85.4;102.2;114.2;122.8;99.9;105.1;116.6;99.9;107.3;93.3;106.2
VENTAS EN VALOR $ ('000000);TOTAL CUNDINAMARCA;CREMAS FACIALES;OTROS FABRICANTES;1605.8;1498.4;1668.5;1548.1;1750.3;1489.2;1570.6;1468.8;1416.2;1892.1;1748.8;1732.1
